RecordTypeId,Field__c,Field_Label__c,New_Value__c,Object__c,Object_Label__c,Old_Value__c,Record_Id__c,Record_Name__c,Relation__c,User__c,Errors,Id
0129E000000XXm6QAG,Country__c,Country,Switzerland,Account,Account,Other,0012o00002RFQBFAA5,Acme (Sample),On Record,0052o00000A4plXAAR,,a029E00000NxlSJQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Luiz Felipe Conrado,Account,Account,Added,0012o00002RFQBFAA5,Acme (Sample),Child Object,0052o00000A4plXAAR,,a029E00000NxlSKQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Dummy User,0012o00002RFQBFAA5,Acme (Sample),Child Object,0052o00000A4plXAAR,,a029E00000NxlSLQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Luiz Felipe Conrado,0012o00002RFQBFAA5,Acme (Sample),Child Object,0052o00000A4plXAAR,,a029E00000NxlSMQAZ
0129E000000XXm6QAG,Sub_Stage__c,Sub Stage,Awaiting Follow up after Fact Sheet,Opportunity,Opportunity,,0062o000012lUIBAA2,Test-Finleap Build Investment,On Record,0052o00000A4plXAAR,,a029E00000NxlSNQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0p9PAAR,S-Markt & Mehrwert GmbH & Co. KG,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSOQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ofLAAR,Sparkasse Attendorn-Lennestadt-Kirchhundem,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSPQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ofKAAR,Sparkasse Bamberg,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSQQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ofYAAR,Sparkasse Burbach-Neunkirchen,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSRQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0p9WAAR,Sparkasse Aachen,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSSQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oeqAAB,Sparkasse Bad Hersfeld-Rotenburg,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSTQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oduAAB,Sparkasse Allgäu,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSUQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ofNAAR,Sparkasse Altötting-Mühldorf,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSVQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ofVAAR,Sparkasse Bochum,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSWQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ofXAAR,Sparkasse Bodensee,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSXQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ofPAAR,Sparkasse Ansbach,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSYQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ofTAAR,Sparkasse Aschaffenburg-Alzenau,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSZQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ofRAAR,Sparkasse Arnstadt-Ilmenau,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSaQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ofOAAR,Sparkasse Coburg-Lichtenfels,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSbQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oeaAAB,Sparkasse Donnersberg,Child Object,0052o00000A4d6MAAR,,a029E00000NxlScQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oeWAAR,Sparkasse Bremen AG,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSdQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ofaAAB,Sparkasse Emsland,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSeQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ofSAAR,Sparkasse Burgenlandkreis,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSfQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oeJAAR,Sparkasse Celle-Gifhorn-Wolfsburg,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSgQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0odtAAB,Sparkasse Chemnitz,Child Object,0052o00000A4d6MAAR,,a029E00000NxlShQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ofZAAR,Sparkasse Dachau,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSiQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0p9YAAR,Sparkasse Essen,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSjQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ofQAAR,Sparkasse Dieburg,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSkQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oe4AAB,Sparkasse Dortmund,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSlQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oeMAAR,Sparkasse Gütersloh,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSmQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oewAAB,Sparkasse Dillenburg,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSnQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0of0AAB,Sparkasse Duderstadt,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSoQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0odYAAR,Sparkasse Geseke,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSpQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ofcAAB,Sparkasse Gladbeck,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSqQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oeiAAB,Sparkasse Forchheim,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSrQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ofbAAB,Sparkasse Gelsenkirchen,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSsQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0odxAAB,Sparkasse Freiburg-Nördlicher Breisgau,Child Object,0052o00000A4d6MAAR,,a029E00000NxlStQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oeSAAR,Sparkasse Germersheim-Kandel,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSuQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oeUAAR,Sparkasse Hamm,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSvQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0o7NAAR,Sparkasse Hanau,Child Object,0052o00000A4d6MAAR,,a029E00000NxlSwQAJ
